input_data,num_vertices,w_mst,avg_ls,avg_sa,avg_ts,avg_ga
xqf131,131,742.0,605,576,614,629
xqg237,237,1424.0,1104,1049,1108,1126
pma343,343,1876.0,1483,1380,1485,1522
pka379,379,1799.0,1411,1341,1447,1480
bcl380,380,2337.0,1755,1663,1802,1839
pbl395,395,1893.0,1363,1312,1431,1467
pbk411,411,1930.0,1438,1380,1485,1518
pbn423,423,1921.0,1479,1403,1528,1561
pbm436,436,2095.0,1558,1481,1611,1630
xql662,662,3692.0,2683,2583,2816,2847
xit1083,1083,,3822,3655,4032,4079
icw1483,1483,,4828,4532,4966,5067
djc1785,1785,,6605,6273,6903,7054
dcb2086,2086,,7137,6810,7431,7587
pds2566,2566,,8260,7898,8716,8889
